テーブルキー,ビュー名(テーブル名),元ファイル名,カラム名,データ型,NULL許容しない,主キー
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,シート種別,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,事業年度,BIGINT,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,予算事業ID,BIGINT,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,事業名,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,建制順,BIGINT,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,所管府省庁,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,府省庁,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,局・庁,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,部,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,課,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,室,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,班,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,係,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,その他担当組織_作成責任者_no,BIGINT,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,府省庁（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,局・庁（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,部（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,課（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,室（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,班（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,係（その他担当組織）,VARCHAR,False,False
tbl_1_1,基本情報_組織情報,1-1_RS_2024_基本情報_組織情報.zip,作成責任者,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,シート種別,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業年度,BIGINT,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,予算事業ID,BIGINT,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業名,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,府省庁の建制順,BIGINT,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,政策所管府省庁,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,府省庁,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,局・庁,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,部,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,課,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,室,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,班,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,係,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業の目的,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,現状・課題,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業の概要,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業概要URL,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業区分,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業開始年度,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,開始年度不明,BOOLEAN,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,事業終了（予定）年度,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,終了予定なし,BOOLEAN,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,主要経費,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,備考,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,実施方法ー直接実施,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,実施方法ー補助,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,実施方法ー負担,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,実施方法ー交付,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,実施方法ー分担金・拠出金,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,実施方法ーその他,DOUBLE,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,旧事業番号,VARCHAR,False,False
tbl_1_2,基本情報_事業概要等,1-2_RS_2024_基本情報_事業概要等.zip,整理表表示順,DOUBLE,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,シート種別,VARCHAR,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,事業年度,BIGINT,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,予算事業ID,BIGINT,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,事業名,VARCHAR,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,府省庁の建制順,BIGINT,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,政策所管府省庁,VARCHAR,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,府省庁,VARCHAR,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,局・庁,VARCHAR,False,False
tbl_1_3,基本情報_政策・施策、法令等,1-3_RS_2024_基本情報_政策・施策、法令等.zip,部,VARCHAR,False,False
